,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Concepte,Rang_soroll,Valor,Lloguer_mitja_mensual,Lloguer_mitja_m2
99,2,Eixample,10,Sant Antoni,TOTAL_D,>=80 dB,0.0,898.26,12.95
100,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,<40 dB,13.88,748.15,13.65
101,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,40-45 dB,23.39,748.15,13.65
102,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,45-50 dB,6.46,748.15,13.65
103,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,50-55 dB,5.13,748.15,13.65
104,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,55-60 dB,20.66,748.15,13.65
105,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,60-65 dB,21.96,748.15,13.65
106,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,65-70 dB,6.09,748.15,13.65
107,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,70-75 dB,2.42,748.15,13.65
108,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,75-80 dB,0.01,748.15,13.65
109,3,Sants-Montjuïc,11,el Poble Sec,TOTAL_D,>=80 dB,0.0,748.15,13.65
110,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,<40 dB,0.96,760.35,12.57
111,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,40-45 dB,6.25,760.35,12.57
112,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,45-50 dB,29.19,760.35,12.57
113,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,50-55 dB,29.8,760.35,12.57
114,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,55-60 dB,23.02,760.35,12.57
115,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,60-65 dB,8.69,760.35,12.57
116,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,65-70 dB,2.0,760.35,12.57
117,3,Sants-Montjuïc,12,la Marina del Prat Vermell,TOTAL_D,70-75 dB,0.09,760.35,12.57
